name,slug,description,price,original_price,category_slug,is_new,is_on_offer,offer_percentage,in_stock,featured,image_file,alt_text,sizes,tags
Pink Button-Front Belted Midi Dress,pink-button-front-belted-midi-dress,"Effortlessly feminine pink midi dress with a flattering V-neckline and delicate button detailing down the front. The self-tie waist belt cinches beautifully while the long balloon sleeves add a romantic flair. Soft ribbed fabric drapes gracefully for an elegant silhouette.",850,950,dresses,true,true,11,true,true,dresses/pink-button-midi-dress.jpg,Pink Button-Front Belted Midi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual,office-wear"
Yellow Sunflower Halterneck Bodycon Dress,yellow-sunflower-halterneck-bodycon-dress,"Turn heads in this stunning yellow sunflower print bodycon dress. The halterneck design frames the shoulders beautifully while the body-hugging silhouette celebrates every curve. A vibrant showstopper for brunches and summer outings.",750,0,dresses,true,false,0,true,true,dresses/yellow-sunflower-bodycon-dress.jpg,Yellow Sunflower Halterneck Bodycon Dress - Front,"S,M,L","thrift,new-arrival,in-stock,party-wear,statement-piece"
Dark Floral Ruffle-Collar Midi Dress,dark-floral-ruffle-collar-midi-dress,"Charming dark floral midi dress with a romantic ruffle collar and three-quarter sleeves. The cinched waist creates an hourglass shape while the flared skirt moves freely with every step. A timeless print that transitions effortlessly from day to evening.",800,900,dresses,true,true,11,true,false,dresses/dark-floral-ruffle-midi-dress.jpg,Dark Floral Ruffle-Collar Midi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual,vintage"
Blue Polka Dot Tiered Midi Dress,blue-polka-dot-tiered-midi-dress,"Fresh and playful blue midi dress covered in cheerful white polka dots. Features a relaxed scoop neckline and short flutter sleeves with a tiered flowing skirt. Cinch the waist with the included tan leather belt for a pulled-together look.",700,0,dresses,true,false,0,true,false,dresses/blue-polka-dot-midi-dress.jpg,Blue Polka Dot Tiered Midi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,casual"
Beige Wrap Midi Dress,beige-wrap-midi-dress,"Understated elegance meets everyday comfort in this beige wrap midi dress. The crossover V-neckline and cap sleeves create a clean minimalist look while the wrap silhouette flatters every body type. Pair with sandals for brunch or heels for the office.",750,0,dresses,true,false,0,true,false,dresses/beige-wrap-midi-dress.jpg,Beige Wrap Midi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,casual,office-wear"
Lilac Cap-Sleeve Midi Dress,lilac-cap-sleeve-midi-dress,"Dreamy lilac midi dress with a softly gathered neckline and relaxed cap sleeves. The lightweight fabric falls beautifully to mid-calf while the included belt adds shape and definition. A pastel dream for garden parties and weekend strolls.",700,0,dresses,true,false,0,true,false,dresses/lilac-cap-sleeve-midi-dress.jpg,Lilac Cap-Sleeve Midi Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,casual"
Black Sculpted Bodycon Mini Dress,black-sculpted-bodycon-mini-dress,"The ultimate little black dress reinvented. This sleek bodycon mini features structured cap sleeves and a high mock neckline for a bold and confident look. Thick stretch fabric smooths and sculpts for a flawless finish. Your new go-to for nights out.",650,800,dresses,true,true,19,true,true,dresses/black-bodycon-mini-dress.jpg,Black Sculpted Bodycon Mini Dress - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,party-wear,date-night"
Black & White Pleated Sleeve Cocktail Dress,black-white-pleated-sleeve-cocktail-dress,"Sophisticated black cocktail dress with show-stopping white accordion-pleated long sleeves. The keyhole neckline adds a touch of allure while the belted waist defines the silhouette. A head-turning fusion of classic and contemporary for formal events.",900,0,dresses,true,false,0,true,true,dresses/black-white-pleated-sleeve-dress.jpg,Black & White Pleated Sleeve Cocktail Dress - Front,"S,M,L,XL","thrift,new-arrival,in-stock,party-wear,statement-piece,best-seller"
White Floral Eyelet-Trim Midi Dress,white-floral-eyelet-trim-midi-dress,"Cottage-core charm meets modern style in this white floral midi dress. Delicate wildflower print scattered across lightweight cotton with eyelet lace trim along the flutter sleeves and hemline. The fitted waist flares into a romantic A-line skirt.",800,0,dresses,true,false,0,true,false,dresses/white-floral-eyelet-midi-dress.jpg,White Floral Eyelet-Trim Midi Dress - Front,"S,M,L","thrift,new-arrival,in-stock,casual,vintage"
Pastel Stripe Cami Mini Dress,pastel-stripe-cami-mini-dress,"Sweet and flirty pastel-striped mini dress with thin spaghetti straps and a playful ruffled hem. The candy-coloured pink and cream stripes bring instant summer vibes while the fitted stretch fabric hugs the body in all the right places. Perfect for beach days and casual dates.",600,750,dresses,true,true,20,true,false,dresses/pastel-stripe-mini-dress.jpg,Pastel Stripe Cami Mini Dress - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,casual"
