name,slug,description,price,original_price,category_slug,is_new,is_on_offer,offer_percentage,in_stock,featured,image_file,alt_text,sizes,tags
Berry Floral Button Blouse,berry-floral-button-blouse,"Rich berry-toned blouse with delicate pink cherry blossom print. Long sleeves, notch neckline with button placket. Lightweight and feminine.",570,700,tops,true,true,19,true,true,berry-floral-blouse-1.jpg,Berry Floral Button Blouse - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
White Floral Peplum Cami,white-floral-peplum-cami,"Elegant white camisole with soft pink and grey floral print. V-neckline with front tie detail and flowing peplum hem. Adjustable spaghetti straps.",458,570,tops,true,true,20,true,true,white-floral-peplum-cami-1.jpg,White Floral Peplum Cami - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Pink Floral Ruffle Crop Top,pink-floral-ruffle-crop-top,"Playful pink floral crop top with tiered ruffle layers. Tie-strap shoulders with a sweet romantic vibe. Perfect for summer outings.",458,570,tops,true,true,20,true,false,pink-floral-ruffle-crop-1.jpg,Pink Floral Ruffle Crop Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,casual"
Lilac Floral V-Neck Blouse,lilac-floral-v-neck-blouse,"Soft lilac blouse with hand-drawn floral sketches. Relaxed V-neckline and bishop sleeves with cuff detail. Effortlessly chic.",570,700,tops,true,true,19,true,true,lilac-floral-v-neck-blouse-1.jpg,Lilac Floral V-Neck Blouse - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,office-wear"
Garden Ditsy Sweetheart Top,garden-ditsy-sweetheart-top,"Charming multicolour ditsy floral top with sweetheart neckline and wide straps. Fitted bodice with a garden-fresh appeal.",458,570,tops,true,true,20,true,false,garden-ditsy-sweetheart-top-1.jpg,Garden Ditsy Sweetheart Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,casual"
Golden Paisley Off-Shoulder Top,golden-paisley-off-shoulder-top,"Stunning golden yellow off-shoulder top with white paisley print. Puff sleeves and cinched waist with tie front peplum detail.",570,700,tops,true,true,19,true,true,golden-paisley-off-shoulder-1.jpg,Golden Paisley Off-Shoulder Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Navy Tropical Cold Shoulder Top,navy-tropical-cold-shoulder-top,"Bold navy top with vibrant pink and orange tropical floral print. Cold-shoulder ruffled sleeves and relaxed silhouette.",570,700,tops,true,true,19,true,true,navy-tropical-cold-shoulder-1.jpg,Navy Tropical Cold Shoulder Top - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,statement-piece"
Cream Ditsy Corset Top,cream-ditsy-corset-top,"Dainty cream corset-style top with tiny floral print. Adjustable shoulder straps and front tie detail. Structured and flattering.",458,570,tops,true,true,20,true,false,cream-ditsy-corset-top-1.jpg,Cream Ditsy Corset Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
White Botanical Peasant Blouse,white-botanical-peasant-blouse,"Airy white peasant blouse with subtle botanical sprig print. Gathered neckline with tie, balloon sleeves. Relaxed bohemian style.",570,700,tops,true,true,19,true,false,white-botanical-peasant-blouse-1.jpg,White Botanical Peasant Blouse - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
Navy Boho Contrast Tunic,navy-boho-contrast-tunic,"Sleeveless navy tunic with red and white ditsy floral yoke and contrasting print body. Handkerchief hem for effortless boho style.",570,700,tops,true,true,19,true,true,navy-boho-contrast-tunic-1.jpg,Navy Boho Contrast Tunic - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
Green Polka Ruffle V-Neck Blouse,green-polka-ruffle-v-neck-blouse,"Fresh green blouse with white polka dot print. Ruffle V-neckline and puff half-sleeves. Cheerful and easy to style.",458,570,tops,true,true,20,true,false,green-polka-ruffle-blouse-1.jpg,Green Polka Ruffle V-Neck Blouse - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,casual"
Blue Polka Dot V-Neck Blouse,blue-polka-dot-v-neck-blouse,"Classic blue blouse with playful white polka dots. V-neckline with three-quarter balloon sleeves. Smart-casual versatility.",570,700,tops,true,true,19,true,true,blue-polka-dot-blouse-1.jpg,Blue Polka Dot V-Neck Blouse - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,office-wear"
Purple Watercolor Peplum Blouse,purple-watercolor-peplum-blouse,"Artistic purple and blue watercolour print blouse with gathered empire waist. Long bell sleeves add a dreamy bohemian touch.",570,700,tops,true,true,19,true,true,purple-watercolor-peplum-1.jpg,Purple Watercolor Peplum Blouse - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,statement-piece"
Monochrome Lattice Shell Top,monochrome-lattice-shell-top,"Sleek black and white geometric lattice print shell top with notch neckline. Red Greek key hem band adds a designer-inspired accent.",458,570,tops,true,true,20,true,true,monochrome-lattice-shell-top-1.jpg,Monochrome Lattice Shell Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,office-wear"
White Pleated Ruffle Top,white-pleated-ruffle-top,"Ethereal white pleated top with layered ruffle overlay at neckline. Sheer crinkle fabric for an elegant airy feel.",458,570,tops,true,true,20,true,false,white-pleated-ruffle-top-1.jpg,White Pleated Ruffle Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Black Tropical Tie-Front Top,black-tropical-tie-front-top,"Sultry black bralette-style tie-front top with vivid tropical floral print. Spaghetti straps and centre knot. Perfect holiday piece.",458,570,tops,true,true,20,true,false,black-tropical-tie-front-1.jpg,Black Tropical Tie-Front Top - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Pink Aztec Boho Blouse,pink-aztec-boho-blouse,"Warm pink boho blouse with intricate Aztec geometric print. V-neckline with tassel ties and relaxed bell sleeves.",570,700,tops,true,true,19,true,true,pink-aztec-boho-blouse-1.jpg,Pink Aztec Boho Blouse - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
Coral Cap Sleeve Tee,coral-cap-sleeve-tee,"Simple and chic coral pink cap-sleeve tee with round neckline and curved hem. Soft cotton blend for everyday comfort.",458,570,tops,true,true,20,true,false,coral-cap-sleeve-tee-1.jpg,Coral Cap Sleeve Tee - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
