name,slug,description,price,original_price,category_slug,is_new,is_on_offer,offer_percentage,in_stock,featured,image_file,alt_text,sizes,tags
Black Leopard Cowl Neck Bodysuit,black-leopard-cowl-bodysuit,"Sultry black leopard print bodysuit with draped cowl neckline and adjustable spaghetti straps. Side ruching adds a flattering silhouette. Perfect for a night out.",570,700,women-bodysuits,true,true,19,true,true,black-leopard-cowl-bodysuit-1.jpg,Black Leopard Cowl Neck Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Black Mock Neck Sleeveless Bodysuit,black-mock-neck-bodysuit,"Classic black sleeveless bodysuit with a high mock neckline and clean minimalist cut. Ribbed stretch fabric for a snug comfortable fit.",458,570,women-bodysuits,true,true,20,true,true,black-mock-neck-bodysuit-1.jpg,Black Mock Neck Sleeveless Bodysuit - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
Nude Off-Shoulder Bodysuit,nude-off-shoulder-bodysuit,"Soft nude off-shoulder bodysuit with short puff sleeves and a smooth suede-like finish. Flattering thong cut for a seamless look under skirts or jeans.",570,700,women-bodysuits,true,true,19,true,true,nude-off-shoulder-bodysuit-1.jpg,Nude Off-Shoulder Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Sage Green Sleeveless Bodysuit,sage-green-sleeveless-bodysuit,"Fresh sage green sleeveless bodysuit with a crew neckline and ribbed stretch fabric. High-cut leg for a flattering everyday essential.",458,570,women-bodysuits,true,true,20,true,false,sage-green-sleeveless-bodysuit-1.jpg,Sage Green Sleeveless Bodysuit - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
Black Ribbed V-Neck Bodysuit,black-ribbed-vneck-bodysuit,"Sleek black ribbed bodysuit with deep V-neckline and thin spaghetti straps. Stretch-fit ribbed fabric moulds to the body beautifully.",458,570,women-bodysuits,true,true,20,true,true,black-ribbed-vneck-bodysuit-1.jpg,Black Ribbed V-Neck Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Navy Crew Neck Short Sleeve Bodysuit,navy-crew-neck-bodysuit,"Smooth navy blue bodysuit with classic crew neckline and short sleeves. Soft stretchy fabric ideal for layering or wearing solo.",458,570,women-bodysuits,true,true,20,true,false,navy-crew-neck-bodysuit-1.jpg,Navy Crew Neck Short Sleeve Bodysuit - Front,"S,M,L,XL","thrift,new-arrival,in-stock,on-offer,casual"
Blush Square Neck Tank Bodysuit,blush-square-neck-bodysuit,"Delicate blush pink tank bodysuit with a square neckline and wide shoulder straps. Lightweight ribbed cotton for comfortable all-day wear.",458,570,women-bodysuits,true,true,20,true,false,blush-square-neck-bodysuit-1.jpg,Blush Square Neck Tank Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,casual"
Emerald Green Cami Bodysuit,emerald-cami-bodysuit,"Bold emerald green camisole bodysuit with thin spaghetti straps and a scooped neckline. Smooth satin-like fabric with a body-hugging fit.",570,700,women-bodysuits,true,true,19,true,true,emerald-cami-bodysuit-1.jpg,Emerald Green Cami Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,statement-piece"
Black Lace Trim V-Neck Bodysuit,black-lace-trim-bodysuit,"Romantic black bodysuit with delicate lace trim along the V-neckline and adjustable spaghetti straps. Soft jersey fabric for a feminine touch.",570,700,women-bodysuits,true,true,19,true,true,black-lace-trim-bodysuit-1.jpg,Black Lace Trim V-Neck Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,date-night"
Black Fringe Long Sleeve Bodysuit,black-fringe-sleeve-bodysuit,"Statement black V-neck bodysuit with dramatic fringe detailing along the long bell sleeves. Stretchy fabric for a flattering fit. Show-stopping piece.",570,700,women-bodysuits,true,true,19,true,true,black-fringe-sleeve-bodysuit-1.jpg,Black Fringe Long Sleeve Bodysuit - Front,"S,M,L","thrift,new-arrival,in-stock,on-offer,statement-piece"
